ID,Assay,Cell type,Virus type,Readout,Entry,
NVIC0037,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0038,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0039,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0040,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0041,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0042,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0043,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0044,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0045,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0046,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0047,Inhibition of spread,293T,Pseudotypes,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
NVIC0048,Inhibition of spread,293T,pseudotype,Luminescence (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2682105/,
,Viral release,Vero,wt,Titration (CPEv),,
,Replication,,,Immunostaining (visual),,
,Cell viability,HeLa,wt,Titration (CPEv),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2888097/,
,Time of addition,,,,,
,Efficacy in vivo,Hamsters,wt,Days of survival,,
,Efficacy in vivo,Ferrets,wt,Days of survival,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2772715/,
,Serology in vivo,,,qRT-PCR,,
,Inhibition of spread,Not described,,Not described,,
NVIC0049,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0050,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
,Cell viability,,,Citotoxicity (kit),,
NVIC0051,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0052,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0053,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0054,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0055,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0056,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0057,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0058,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0059,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0060,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0061,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0062,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0063,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0064,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0065,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0066,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0067,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0068,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0069,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0070,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0071,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0072,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0073,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0074,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0075,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0076,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0077,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0078,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0079,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0080,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0081,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0082,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0083,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0084,Replication,Vero,wt,Immunostaining (HTS),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910441/,
NVIC0085,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0086,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0088,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0089,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0090,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0091,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0092,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0093,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0094,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0095,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0096,"Predicted to interfere in protein-protein interactions, not tested experimentally",,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5686741/,
NVIC0097,Titer reduction,HeLa,wt,Plaque assay (visual),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3698975/,
,Cell fusion,Vero,NiV F/G prots,Syncitia formation (microscopy),,
,Virus entry,293T,Pseudotype,Bla activity (fluorescence),,
NVIC0098,Reporter assay,HeLa or 293 T/17,GFP,Fluorescence,Https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5338263/,
,,,Luciferase,Luminescence,,
,Antigen reduction assay,HeLa,wt,Immunostaining,,
,Cell viability,HeLa and H358,,CPE (kit),,
,Titer reduction,HeLa,,CPE (visual),,
